timestamp,open,high,low,close,adjusted_close,volume,forecast_high_5
7/26/2017,43.04,43.77,42.32,43.32,42.7746,10822450,42.95
7/25/2017,42.89,43.705,42.68,42.69,42.1525,13684137,42.565
7/24/2017,45.05,45.2999,42.02,42.51,41.9748,21620264,42.9
7/21/2017,45.36,45.61,44.12,44.38,43.8213,11643144,44
7/20/2017,45.89,46.06,45.06,45.38,44.8087,10359993,44.39
7/19/2017,43.97,45.82,43.92,45.58,45.0062,11695837,43.77
7/18/2017,44.41,44.41,43.655,44,43.4461,8090126,43.705
7/17/2017,44.15,44.52,44,44.11,43.5547,6769646,45.2999
7/14/2017,43.9,44.415,43.81,44.22,43.6633,7897374,45.61
7/13/2017,42.7,43.85,42.67,43.77,43.219,8302498,46.06
7/12/2017,43.51,43.68,42.6,42.78,42.2414,5675706,45.82
7/11/2017,42.35,43.17,42.19,42.71,42.1723,5382867,44.41
7/10/2017,41.51,42.51,41.43,42.32,41.7872,6100291,44.52
7/7/2017,41.85,41.94,41.03,41.78,41.254,10064783,44.415
7/6/2017,43.1,43.42,41.86,42.02,41.491,8899965,43.85
7/5/2017,44.07,44.07,42.53,42.86,42.3204,9443313,43.68
7/3/2017,42.94,44.01,42.73,43.72,43.1696,5754768,43.17
6/30/2017,42.8,43.06,42.3,42.71,42.1723,7129992,42.51
6/29/2017,42.2,42.97,42.13,42.42,41.8859,7739090,41.94
6/28/2017,41.6,42.41,41.54,42.01,41.4811,8283124,43.42
6/27/2017,41.83,42.3,41.47,41.53,41.0072,7226079,44.07
6/26/2017,41.84,42,41.48,41.7,41.175,5487888,44.01
6/23/2017,41.9,42.02,41.3636,41.5,40.9775,15498403,43.06
6/22/2017,42.25,42.56,41.9,41.9,41.3725,11557523,42.97
6/21/2017,43.15,43.21,41.95,42.23,41.6983,18442649,42.41
6/20/2017,43.29,43.565,42.44,43.4,42.8536,11015235,42.3
6/19/2017,44.3,44.42,43.62,43.97,43.4164,8594278,42
6/16/2017,44.38,44.38,43.73,44.27,43.7127,10680122,42.02
6/15/2017,44.4,44.71,43.86,44.08,43.525,8754953,42.56
6/14/2017,45.69,45.69,44.19,44.83,44.2656,13529369,43.21
6/13/2017,44.98,46.1776,44.8,45.84,45.2629,11692259,43.565
6/12/2017,45.39,45.63,44.675,44.92,44.3545,9553383,44.42
6/9/2017,44.23,45.26,44.18,44.85,44.2854,11385477,44.38
6/8/2017,44,44.6,43.905,44.13,43.5744,10138430,44.71
6/7/2017,45.71,46.01,44.01,44.4,43.841,16265114,45.69
6/6/2017,45.29,46.22,44.975,46,45.4209,9201306,46.1776
6/5/2017,44.77,45.54,44.77,45.32,44.7494,5881333,45.63
6/2/2017,45.09,45.5,44.62,45.3,44.5527,9489601,45.26
6/1/2017,45.3,45.88,44.82,45.49,44.7396,9060126,44.6
5/31/2017,44.66,45.59,44.27,45.19,44.4446,9807944,46.01
5/30/2017,45.36,45.43,44.95,45.15,44.4052,8269128,46.22
5/26/2017,45.43,46.04,45.25,45.76,45.0051,9905206,45.54
5/25/2017,47.59,48.3223,45,45.41,44.6609,18226395,45.5
5/24/2017,47.58,48.12,47.32,47.71,46.923,10331886,45.88
5/23/2017,47.06,47.86,46.68,47.6,46.8148,11211057,45.59
5/22/2017,47.97,48.18,46.8627,47.12,46.3427,9466285,45.43
5/19/2017,47.29,48.035,47.04,47.78,46.9918,13138893,46.04
5/18/2017,46.05,46.87,45.67,46.58,45.8116,9044568,48.3223
5/17/2017,46.53,47.11,46.215,46.34,45.5756,8037044,48.12
5/16/2017,46.89,46.92,46.21,46.78,46.0083,8848182,47.86
5/15/2017,46.2,47.11,45.97,46.51,45.7428,12442638,48.18
5/12/2017,45.72,45.72,44.97,45.14,44.3954,8932483,48.035
5/11/2017,46.37,46.37,45.56,45.61,44.8576,7930283,46.87
5/10/2017,45.49,46.33,45.43,45.81,45.0543,10051454,47.11
5/9/2017,45.37,45.5047,44.8,45.03,44.2872,8351160,46.92
5/8/2017,45.66,45.925,45.28,45.36,44.6117,8036773,47.11
5/5/2017,44.6,45.71,44.535,45.58,44.8281,11871396,45.72
5/4/2017,44.7,44.79,43.7,44.6,43.8643,13717903,46.37
5/3/2017,45.12,45.55,44.91,45.25,44.5036,7215248,46.33
5/2/2017,45.82,46.07,45.085,45.3,44.5527,7550235,45.5047
5/1/2017,45.94,46.118,45.555,45.77,45.015,4610840,45.925
4/28/2017,47.34,47.38,45.83,45.88,45.1232,7171007,45.71
4/27/2017,46.6,46.82,45.1,46.4,45.6346,12766871,44.79
4/26/2017,46.65,47.55,46.6,46.99,46.2149,7750508,45.55
4/25/2017,46.88,47.22,46.71,47.02,46.2444,7983590,46.07
